Column2;Column3
Consultar saldo da conta;Qual o meu saldo
Consultar saldo da conta;Me diga meu saldo
Consultar saldo da conta;Qual o meu saldo?
Consultar saldo da conta;quanto estou devendo no banco
Consultar saldo da conta;FoxBot quanto tem na minha conta?
Consultar saldo da conta;saldo
Consultar saldo da conta;Quanto dinheiro tenho em minha conta?
Consultar saldo da conta;Foxbot, qual é o meu saldo
Consultar saldo da conta;extrato
Consultar saldo da conta;quanto dinheiro eu tenho
Consultar saldo da conta;qual era o meu saldo ontem?
Consultar saldo da conta;FoxBot saldo da conta
Consultar saldo da conta;Foxbot, quanto tenho na conta?
Consultar saldo da conta;Quantos reais tenho em minha conta?
Consultar saldo da conta;Consigo comprar uma televisão nova?
Consultar saldo da conta;Qual meu saldo bancário?
Consultar saldo da conta;Quanto dinheiro tenho?
Consultar saldo da conta;Quanto eu dinheiro tenho?
Consultar saldo da conta;Foxbot, quanta grana eu tenho?
Consultar saldo da conta;FoxBot quanto posso gastar?
Consultar saldo da conta;Minha conta bancária está vazia?
Consultar saldo da conta;Minha conta está negativa?
Consultar saldo da conta;Foxbot, diz aí quanto dinheiro eu tenho
Consultar saldo da conta;Foxbot, estou negativado?
Consultar saldo da conta;quanto tenho de din?
Consultar saldo da conta;qual é $ na conta?
Consultar saldo da conta;Foxbot, quanto ainda posso gastar?
Consultar saldo da conta;Foxbot, quanto dinheiro tenho pra gastar?
Interagir com a luz ou o ar-condicionado;Ligue a luz
Interagir com a luz ou o ar-condicionado;está muito claro
Interagir com a luz ou o ar-condicionado;aumente a temperatura
Interagir com a luz ou o ar-condicionado;Foxbot, apague a luz
Interagir com a luz ou o ar-condicionado;estou com frio
Interagir com a luz ou o ar-condicionado;Desligue a luz
Interagir com a luz ou o ar-condicionado;Acenda a luz
Interagir com a luz ou o ar-condicionado;FoxBot Bom Dia (liga as luzes)
Interagir com a luz ou o ar-condicionado;deixe o ambiente mais quente
Interagir com a luz ou o ar-condicionado;Foxbot, apaga a luz aí
Interagir com a luz ou o ar-condicionado;diminua a temperatura
Interagir com a luz ou o ar-condicionado;Ligar Luz
Interagir com a luz ou o ar-condicionado;Qual a temperatura do ar condicionado?
